Treadmil_v,Period,X,Y
0.8,17,-10.918211936950684,24.168062210083008
0.8,17,-11.085375785827637,8.358192443847656
0.8,17,-10.874495506286621,-10.544013977050781
0.8,17,-10.273091316223145,-30.070209503173828
0.8,17,-9.22542953491211,-52.38308906555176
0.8,17,-7.637396812438965,-79.40163612365723
0.8,17,-6.187200546264648,-72.50981330871582
0.8,18,-3.68454647064209,-61.12346649169922
0.8,18,-2.7786741256713867,-45.293617248535156
0.8,18,-1.5383491516113281,-62.01624870300293
0.8,18,-0.7359380722045898,-40.120553970336914
0.8,18,-0.35552024841308594,-19.020891189575195
0.8,18,0.1982707977294922,-27.689552307128906
0.8,18,1.1008214950561523,-45.12753486633301
0.8,18,0.7480611801147461,17.638015747070312
0.8,18,-0.5444107055664062,64.62359428405762
0.8,18,-1.1473312377929688,30.146026611328125
0.8,18,-0.9149999618530273,-11.61656379699707
0.8,18,0.7585840225219727,-83.67919921875
0.8,18,2.063701629638672,-65.25588035583496
0.8,18,2.2366132736206055,-8.64558219909668
0.8,18,2.5099635124206543,-13.667511940002441
0.8,18,2.7707948684692383,-13.0415678024292
0.8,18,3.1138486862182617,-17.152690887451172
0.8,18,3.7103323936462402,-29.824185371398926
0.8,18,4.250438690185547,-27.005314826965332
0.8,18,4.667184352874756,-20.83728313446045
0.8,18,5.097666025161743,-21.524083614349365
0.8,18,5.522136449813843,-21.22352123260498
0.8,18,5.881458044052124,-17.966079711914062
0.8,18,6.242664217948914,-18.060308694839478
0.8,18,6.688593864440918,-22.29648232460022
0.8,18,7.192082643508911,-25.174438953399658
0.8,18,7.7025663405656815,-25.524184852838516
0.8,18,8.271481066942215,-28.445736318826675
0.8,18,8.847649216651917,-28.808407485485077
0.8,18,9.3861004114151,-26.92255973815918
0.8,18,9.962520241737366,-28.82099151611328
0.8,18,10.559226751327515,-29.835325479507446
0.8,18,11.001478910446167,-22.112607955932617
0.8,18,11.238913774490356,-11.871743202209473
0.8,18,11.350436210632324,-5.576121807098389
0.8,18,11.413705587387085,-3.163468837738037
0.8,18,11.057714939117432,17.799532413482666
0.8,18,10.04122543334961,50.82447528839111
0.8,18,8.399864912033081,82.06802606582642
0.8,18,6.294131636619568,105.28666377067566
0.8,18,3.6794568449258804,130.73373958468437
0.8,18,1.2470669746398926,121.61949351429939
0.8,18,-0.9581162929534912,110.25916337966919
0.8,18,-2.8007264137268066,92.13050603866577
0.8,18,-4.21768856048584,70.84810733795166
