Treadmil_v,Period,X,Y
0.5,5,5.451902866363525,-30.36646842956543
0.5,5,5.9692912101745605,-25.869417190551758
0.5,5,6.618681907653809,-32.4695348739624
0.5,5,7.235261917114258,-30.82900047302246
0.5,5,7.744002819061279,-25.437045097351074
0.5,5,8.268004417419434,-26.200079917907715
0.5,5,8.763588905334473,-24.779224395751953
0.5,5,9.38173246383667,-30.907177925109863
0.5,5,10.027353763580322,-32.28106498718262
0.5,5,10.647505760192871,-31.00759983062744
0.5,5,11.319399356842041,-33.594679832458496
0.5,5,11.999138355255127,-33.9869499206543
0.5,5,12.604496479034424,-30.267906188964844
0.5,5,13.190584182739258,-29.3043851852417
0.5,5,13.78659200668335,-29.80039119720459
0.5,5,14.387918472290039,-30.066323280334473
0.5,5,14.91637396812439,-26.42277479171753
0.5,5,15.341180324554443,-21.240317821502686
0.5,5,15.735097646713257,-19.695866107940674
0.5,5,16.114229679107666,-18.95660161972046
0.5,5,16.44978618621826,-16.777825355529785
0.5,5,16.70038104057312,-12.52974271774292
0.5,5,16.6879141330719,0.6233453750610352
0.5,5,16.375709772109985,15.610218048095703
0.5,5,15.817793607711792,27.895808219909668
0.5,5,15.151145935058594,33.33238363265991
0.5,5,14.388376951217651,38.13844919204712
0.5,5,13.419869422912598,48.425376415252686
0.5,5,11.898821592330933,76.05239152908325
0.5,5,9.954290390014648,97.22656011581421
0.5,5,7.459341764450073,124.74743127822876
0.5,5,5.244325518608093,110.750812292099
0.5,5,2.925071954727173,115.96267819404602
0.5,5,0.49497830867767334,121.50468230247498
0.5,5,-1.8728630542755127,118.3920681476593
0.5,5,-4.329467535018921,122.83022403717041
0.5,5,-6.582171440124512,112.63519525527954
0.5,5,-8.532185554504395,97.50070571899414
0.5,5,-10.280210733413696,87.40125894546509
0.5,5,-11.8827383518219,80.12638092041016
0.5,5,-13.256579160690308,68.69204044342041
0.5,5,-14.277503967285156,51.04624032974243
0.5,5,-14.884325742721558,30.34108877182007
0.5,5,-15.099219560623169,10.744690895080566
0.5,5,-15.076533794403076,-1.1342883110046387
0.5,5,-14.913100242614746,-8.171677589416504
0.5,5,-14.780220746994019,-6.643974781036377
0.5,5,-14.410659313201904,-18.478071689605713
0.5,5,-13.814834833145142,-29.791224002838135
0.5,5,-13.126584529876709,-34.41251516342163
0.5,5,-12.573323488235474,-27.663052082061768
0.5,6,-12.106049537658691,-4.532492160797119
0.5,6,-12.11044979095459,0.22001266479492188
0.5,6,-12.082848072052002,-1.3800859451293945
0.5,6,-11.849366426467896,-11.674082279205322
0.5,6,-11.139668226242065,-35.484910011291504
0.5,6,-10.66281270980835,-23.84277582168579
0.5,6,-12.59311819076538,96.51527404785156
0.5,6,-14.304652690887451,85.57672500610352
0.5,6,-12.679083824157715,-81.27844333648682
0.5,6,-11.054415464401245,-81.23341798782349
0.5,6,-10.32139539718628,-36.65100336074829
0.5,6,-9.205120086669922,-55.81376552581787
0.5,6,-7.869760513305664,-66.76797866821289
0.5,6,-6.41414737701416,-72.7806568145752
0.5,6,-4.926889419555664,-74.3628978729248
0.5,6,-3.3968377113342285,-76.50258541107178
0.5,6,-1.998185634613037,-69.93260383605957
0.5,6,-0.910977840423584,-54.360389709472656
0.5,6,0.2207651138305664,-56.58714771270752
0.5,6,1.3812479972839355,-58.02414417266846
0.5,6,2.593806743621826,-60.62793731689453
0.5,6,3.6598057746887207,-53.29995155334473
0.5,6,4.559047698974609,-44.962096214294434
0.5,6,5.302589416503906,-37.177085876464844
0.5,6,6.018693923950195,-35.80522537231445
0.5,6,6.768127918243408,-37.471699714660645
0.5,6,7.577129364013672,-40.450072288513184
0.5,6,8.445905685424805,-43.43881607055664
0.5,6,9.333250999450684,-44.367265701293945
0.5,6,10.104607105255127,-38.56780529022217
0.5,6,10.75810980796814,-32.675135135650635
0.5,6,11.419825792312622,-33.08579921722412
0.5,6,12.072654485702515,-32.64143466949463
0.5,6,12.639563798904419,-28.345465660095215
0.5,6,13.161763191223145,-26.10996961593628
0.5,6,13.714692831039429,-27.64648199081421
0.5,6,14.206077098846436,-24.569213390350342
0.5,6,14.603500127792358,-19.871151447296143
0.5,6,14.92275094985962,-15.962541103363037
0.5,6,15.13211178779602,-10.468041896820068
0.5,6,15.153751373291016,-1.0819792747497559
0.5,6,15.000086545944214,7.683241367340088
0.5,6,14.70105266571045,14.951694011688232
0.5,6,14.245810747146606,22.76209592819214
0.5,6,13.550839900970459,34.74854230880737
0.5,6,12.53043532371521,51.02022886276245
